record_type,path,date,title,kind,repository_area,scope,stage,subsystem,final_status,decision_count,notes
Plan,l0/work/plans/tools/closed/2026-03-23-stage1-stage2-whole-compiler-codegen-compare-noref.md,2026-03-23,Add an on-demand Stage 1 vs Stage 2 whole-compiler `--gen` comparison script,Tool,L0,L0 Stage 2,L0 Stage 2,Bootstrap / codegen validation,Implemented,0,Final audited decision count: 0. Adds an explicitly on-demand exact parity tier rather than another mandatory suite gate. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/refactors/closed/2026-03-24-monorepo-language-level-layout-noref.md,2026-03-24,"Restructure repository into a monorepo layout supporting Dea/L0, L1, and future language levels",Refactor,L0,Repository/tooling,Dea-wide,Repository layout / build / CI / docs,Implemented,8,Final audited decision count: 8. The plan has eight labeled decisions plus two separable cross-level/shared-extraction rules. Global reconciliation removed 2 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/bug-fixes/closed/2026-03-30-stale-workflow-test-assertions-noref.md,2026-03-30,Fix stale assertions in `test_dist_tools_lib_fallback.py` and `test_release_tag_policy.py`,Bug Fix,L0,Repository/tooling,Repository/tooling,Distribution / workflow tests,Implemented,0,Final audited decision count: 0. Only test expectations were repaired.
Plan,l0/work/plans/bug-fixes/closed/2026-03-30-windows-dist-libwinpthread-dll-dependency-noref.md,2026-03-30,Statically link GCC runtime in Windows dist/install builds to eliminate `libwinpthread-1.dll` dependency,Bug Fix,L0,L0,L0 Stage 2,Distribution / build tooling,Implemented,1,Final audited decision count: 1. Adopts a durable standalone-Windows binary linkage policy.
Plan,l0/work/plans/tools/closed/2026-03-30-versioned-blog-pdf-link-noref.md,2026-03-30,Pin blog export PDF link to the release asset and display version on tab page,Tool,L0,Repository/tooling,Repository/tooling,Documentation publishing,Closed (implemented),0,Final audited decision count: 0. Defines version-pinned release documentation with a Pages fallback. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/bug-fixes/closed/2026-03-31-msys2-mingw64-dev-environment-test-failures-noref.md,2026-03-31,Fix Stage 2 test failures under MSYS2 MINGW64 with MinGW Python,Bug Fix,L0,L0,L0 Stage 1 and Stage 2,Portability / emitted C / runtime,Closed,1,Final audited decision count: 1. Test-environment repairs were excluded; generated-C path normalization and portable time-zone logic remain. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/tools/closed/2026-03-31-windows-ci-msys2-mingw-python-noref.md,2026-03-31,Expand Windows CI and documentation for MSYS2 UCRT64 and MINGW64 developer environments,Tool,L0,Repository/tooling,Repository/tooling,CI / Windows support,Closed (implemented),2,Final audited decision count: 2. Explicitly chooses Option A and supersedes the original MINGW64-default support posture.
Plan,l0/work/plans/bug-fixes/closed/2026-04-01-stage2-drop-liveness-parity-noref.md,2026-04-01,Restore Stage 2 parity for `drop` diagnostics and dropped-local liveness,Bug Fix,L0,L0,L0 Stage 2,Type Checker,Closed (fixed),0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,l0/work/plans/bug-fixes/closed/2026-04-01-stage2-return-diagnostic-precision-noref.md,2026-04-01,Distinguish bare `return;` from failed return-expression inference in the Stage 2 type checker,Bug Fix,L0,L0,L0 Stage 2,Type Checker,Closed (fixed),0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,l0/work/plans/bug-fixes/closed/2026-04-01-stage2-windows-trace-runner-pipe-capture-noref.md,2026-04-01,Remove the Windows-only Stage 2 trace-runner serialization fallback,Bug Fix,L0,L0,L0,Stage 2 test infrastructure / Windows trace capture,Closed (implemented),0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/refactors/closed/2026-04-02-l1-bootstrap-scaffold-noref.md,2026-04-02,"Create the Dea/L1 bootstrap scaffold, root Dea-wide plans tree, and a small shared tooling core",Refactor,Root/shared,Shared L0/L1,Shared L0/L1,Monorepo layout / L1 bootstrap / shared tooling,Implemented,3,Final audited decision count: 3. Reviewed in full; 4 atomic historical architectural decision events extracted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,work/plans/tools/closed/2026-04-02-l1-ci-release-line-noref.md,2026-04-02,Define the first L1 CI and release-line workflow policy,Tool,Root/shared,Repository/tooling,Repository/tooling,GitHub Actions / release tagging / monorepo release policy,Closed,3,Final audited decision count: 3. Reviewed in full; 5 atomic historical architectural decision events extracted. Global reconciliation removed 2 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/bug-fixes/closed/2026-04-03-stage2-0310-0311-diagnostic-parity-noref.md,2026-04-03,Restore Stage 2 parity for `let` and assignment mismatch diagnostics,Bug Fix,L0,L0,L0 Stage 2,Type Checker,Closed (fixed),0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,l0/work/plans/bug-fixes/closed/2026-04-03-stage2-diagnostic-code-parity-audit-noref.md,2026-04-03,Audit and fix remaining Stage 2 diagnostic-code parity drift against Stage 1,Bug Fix,L0,L0,L0 Stage 2,Diagnostics / Type Checker,Closed (fixed),0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,l0/work/plans/bug-fixes/closed/2026-04-03-stage2-pointer-cast-parity-noref.md,2026-04-03,Restore Stage 2 parity for invalid explicit pointer casts,Bug Fix,L0,L0,L0 Stage 2,Type Checker,Draft,0,Final audited decision count: 0. Located under closed/ but metadata still says Draft. No event counted because it mechanically restores the already-settled Stage 1 cast contract.
Plan,l1/work/plans/bug-fixes/closed/2026-04-03-l1-stage1-pointer-cast-parity-noref.md,2026-04-03,Restore L1 Stage 1 cast validation and mismatch diagnostic parity,Bug Fix,L1,L1,L1 Stage 1,Type Checker,Implemented,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,l1/work/plans/features/closed/2026-04-03-dea-virtual-module-noref.md,2026-04-03,Introduce the `dea` virtual prelude module for Stage 1 intrinsic resolution,Feature,L1,L1,L1,Name resolution / type checking / backend / CLI symbols,Implemented,4,Final audited decision count: 4. Reviewed in full; 5 atomic historical architectural decision events extracted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,work/plans/bug-fixes/closed/2026-04-03-shared-field-index-diagnostic-parity-noref.md,2026-04-03,Fix shared field-access and indexing diagnostic parity drift in L0 Stage 2 and L1 Stage 1,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Type Checker,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/features/closed/2026-04-03-diagnostic-code-catalog-meanings-noref.md,2026-04-03,Expand the shared compiler diagnostic-code catalog with semantic meanings,Feature,Root/shared,Shared L0/L1,Shared L0/L1,Documentation,Closed (implemented),1,Final audited decision count: 1. Reviewed in full; 1 atomic historical architectural decision event extracted.
Plan,work/plans/features/closed/2026-04-03-shared-diagnostic-code-catalog-noref.md,2026-04-03,Add a shared Dea compiler diagnostic-code catalog,Feature,Root/shared,Shared L0/L1,Shared L0/L1,Documentation,Closed (implemented),3,Final audited decision count: 3. Reviewed in full; 3 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-04-l1-dea-c-abi-prefix-migration-noref.md,2026-04-04,Migrate L1 public C ABI names from `l0_*` to `dea_*`,Feature,L1,L1,L1 Stage 1,Runtime / C emitter / generated C ABI / docs,Completed,5,Final audited decision count: 5. Reviewed in full; 5 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-04-l1-float-double-literals-noref.md,2026-04-04,Add L1 float and double types and literals,Feature,L1,L1,L1 Stage 1,Tokens / parser / AST / typing / backend / C emission,Completed,11,Final audited decision count: 11. Reviewed in full; 11 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-04-l1-prefixed-int-literals-noref.md,2026-04-04,Add L1-prefixed integer literals,Feature,L1,L1,L1 Stage 1,Lexer / parser / literal semantics,Completed,3,Final audited decision count: 3. Reviewed in full; 4 atomic historical architectural decision events extracted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l1/work/plans/features/closed/2026-04-04-l1-small-int-builtins-on-dea-abi-noref.md,2026-04-04,"Add `tiny`, `short`, and `ushort` to L1 on the `dea_*` ABI base",Feature,L1,L1,L1 Stage 1,Lexer / parser / typing / C emission / runtime integer helpers,Completed,12,Final audited decision count: 12. Global atomicity review split the joint uint/long/ulong deferral into three independently choosable historical events.
Plan,work/plans/refactors/closed/2026-04-04-docs-work-taxonomy-reorg-noref.md,2026-04-04,"Separate stable documentation from lifecycle work artifacts across root, L0, and L1",Refactor,Root/shared,Shared L0/L1,Shared L0/L1,Documentation taxonomy / work tracking,Closed,3,Final audited decision count: 3. Reviewed in full; 3 atomic historical architectural decision events extracted.
Plan,work/plans/refactors/closed/2026-04-04-stage-runner-scripts-subdirs-noref.md,2026-04-04,Move Stage 2 and L1 Stage 1 Python runner helpers into stage-local `scripts/` subdirectories,Refactor,Root/shared,Shared L0/L1,Shared L0/L1,Test/trace runner layout,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/features/closed/2026-04-09-shared-siphash-global-include-noref.md,2026-04-09,Move SipHash to a monorepo-global shared include,Feature,Root/shared,Shared L0/L1,Shared L0/L1,Shared runtime headers / C backend includes / build layout,Closed (will not implement),0,Final audited decision count: 0. Reviewed in full; 2 atomic historical architectural decision events extracted. Global reconciliation removed 2 repeated or non-architectural candidate event(s).
Plan,l1/work/plans/features/closed/2026-04-10-l1-numeric-literal-lexer-groundwork-noref.md,2026-04-10,Establish L1 numeric-literal lexer groundwork,Feature,L1,L1,L1 Stage 1,Lexer / token model / diagnostics / lexer tests,Completed,1,Final audited decision count: 1. Reviewed in full; 2 atomic historical architectural decision events extracted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,work/plans/bug-fixes/closed/2026-04-10-shared-case-diagnostic-parity-noref.md,2026-04-10,Restore shared `case` diagnostic parity in self-hosted statement checking,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Statement analysis / Diagnostics,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-10-shared-condition-diagnostic-code-parity-noref.md,2026-04-10,Restore shared condition-diagnostic code parity for self-hosted statement checking,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Statement analysis / Diagnostic codes,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-10-shared-let-diagnostic-tail-parity-noref.md,2026-04-10,Restore shared `let` diagnostic-tail parity in self-hosted statement checking,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Statement analysis / Local declarations,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-10-shared-let-initializer-parity-noref.md,2026-04-10,Restore shared `let` initializer and annotation parity in self-hosted statement checking,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Statement analysis / Local declarations,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-10-shared-loop-control-statement-parity-noref.md,2026-04-10,Restore shared `break` / `continue` statement parity in self-hosted statement checking,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Statement analysis / Control Flow / Diagnostics,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-10-shared-match-diagnostic-tail-parity-noref.md,2026-04-10,Audit and restore remaining shared enum `match` diagnostic parity after `TYP-0104`,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Type Checker / Diagnostics,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-10-shared-match-exhaustiveness-return-path-parity-noref.md,2026-04-10,Fix shared enum `match` exhaustiveness and return-path parity in L0 Stage 2 and L1 Stage 1,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Type Checker / Control Flow,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-10-shared-match-pattern-parity-noref.md,2026-04-10,Restore shared `match` scrutinee and arm-pattern typing parity in self-hosted statement checking,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Statement analysis / Match typing,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-10-shared-match-qualified-pattern-parity-noref.md,2026-04-10,Restore shared module-qualified `match` pattern parity in self-hosted statement checking,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Statement analysis / Match typing,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-10-shared-self-hosted-stage1-statement-parity-audit-noref.md,2026-04-10,Audit remaining self-hosted statement and control-flow parity drift against L0 Stage 1,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Statement analysis / Control Flow / Diagnostics,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-10-shared-unreachable-warning-parity-noref.md,2026-04-10,Restore shared unreachable-code warning parity in self-hosted statement checking,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Statement analysis / Control Flow / Warnings,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-10-shared-with-cleanup-header-guard-parity-noref.md,2026-04-10,Restore shared `with` cleanup header-failure guard parity in self-hosted statement checking,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Statement analysis / Flow-sensitive diagnostics,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-11-shared-diagnostic-code-parity-noref.md,2026-04-11,Restore native L0 Stage 2 and L1 Stage 1 diagnostic-code parity for Dea/L0 v1.0.0,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Diagnostics / Lexer / Driver / Type checking / Test runners,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-12-shared-nested-symbol-path-wording-parity-noref.md,2026-04-12,Restore shared nested symbol-path diagnostic wording parity across Python and self-hosted compilers,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Diagnostics / Type resolution / Expression typing / Shared docs,Closed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-12-shared-typ-0020-fatal-parity-follow-up-noref.md,2026-04-12,Restore fatal `TYP-0020` parity after native source cleanup,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Diagnostics / Type checking / Bootstrap sources,Closed,0,Final audited decision count: 0. Reviewed in full; 1 atomic historical architectural decision event extracted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l1/work/plans/features/closed/2026-04-13-l1-float-backend-contract-followup-noref.md,2026-04-13,Define L1 floating-point semantic and C backend contract,Feature,L1,L1,L1 Stage 1,Typing / semantics / backend / C emission / validation / tests,Completed,7,Final audited decision count: 7. Reviewed in full; 7 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-13-l1-uint-long-ulong-bigint-builtins-noref.md,2026-04-13,"Add `uint`, `long`, and `ulong` to L1 through opaque bigint literals",Feature,L1,L1,L1 Stage 1,Lexer / parser / AST / typing / C emission / runtime integer helpers,Completed,10,Final audited decision count: 10. Reviewed in full; 12 atomic historical architectural decision events extracted. Global reconciliation removed 2 repeated or non-architectural candidate event(s).
Plan,l1/work/plans/features/closed/2026-04-14-l1-std-math-wide-integer-followup-noref.md,2026-04-14,"Extend `std.math` with L1-only `uint`, `long`, and `ulong` helpers",Feature,L1,L1,L1 Stage 1,Stdlib / docs / tests,Completed,10,Final audited decision count: 10. Reviewed in full; 10 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-14-l1-std-real-module-noref.md,2026-04-14,Add `std.real` floating-point standard library module,Feature,L1,L1,L1,Stdlib / runtime / build / docs / tests,Completed,7,Final audited decision count: 7. Reviewed in full; 8 atomic historical architectural decision events extracted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,work/plans/features/closed/2026-04-14-shared-std-math-int-surface-noref.md,2026-04-14,Expand `std.math` with a shared `int` helper surface for L0 and L1,Feature,Root/shared,Shared L0/L1,Shared L0/L1,stdlib / docs / tests,Completed,10,Final audited decision count: 10. Global atomicity review split the retained numeric-module partition from the later-superseded std.math name.
Plan,l1/work/plans/bug-fixes/closed/2026-04-17-l1-diagnostic-tab-caret-alignment-noref.md,2026-04-17,Align L1 diagnostic spans and printed carets on tab-bearing lines,Bug Fix,L1,L1,L1 Stage 1,Diagnostics / lexer columns / parser spans / snippet rendering,Done,1,Final audited decision count: 1. Reviewed in full; 1 atomic historical architectural decision event extracted.
Plan,l1/work/plans/features/closed/2026-04-17-l1-let-non-constant-initializers-noref.md,2026-04-17,Support non-constant initializers for top-level let declarations,Feature,L1,L1,L1,Backend / initialization / C emitter,Completed,3,Final audited decision count: 3. Reviewed in full; 3 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-17-l1-std-io-wide-numeric-io-noref.md,2026-04-17,Extend `std.io` with wide numeric I/O helpers,Feature,L1,L1,L1 Stage 1,Stdlib / runtime / docs / tests,Completed,4,Final audited decision count: 4. Reviewed in full; 6 atomic historical architectural decision events extracted. Global reconciliation removed 2 repeated or non-architectural candidate event(s).
Plan,l1/work/plans/features/closed/2026-04-18-l1-bitwise-operators-noref.md,2026-04-18,Add L1 bitwise operators,Feature,L1,L1,L1,Parser / expression typing / constant folding / C emitter,Completed,7,Final audited decision count: 7. Reviewed in full; 7 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-18-l1-const-declarations-noref.md,2026-04-18,Add L1 const declarations,Feature,L1,L1,L1,Lexer / parser / expression typing / constant evaluator / C emitter,Completed,6,Final audited decision count: 6. Reviewed in full; 6 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-18-l1-function-pointer-types-noref.md,2026-04-18,Add L1 function pointer types,Feature,L1,L1,L1,Parser / type system / expression typing / C emitter / ABI,Completed,8,Final audited decision count: 8. Reviewed in full; 8 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-18-string-equality-operators-noref.md,2026-04-18,Land string equality and inequality operators,Feature,L1,L1,L1,Typing / backend / C emission / tests / docs,Completed,2,Final audited decision count: 2. Reviewed in full; 2 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-18-string-relational-operators-noref.md,2026-04-18,Land string relational comparison operators,Feature,L1,L1,L1,Typing / backend / C emission / tests / docs,Completed,2,Final audited decision count: 2. Reviewed in full; 2 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-19-nullable-identity-equality-noref.md,2026-04-19,Implement strict T? vs T? equality,Feature,L1,L1,L1,Typing / backend / C emission / runtime / tests / docs,Draft,0,Final audited decision count: 0. Located under closed/ but metadata still says Draft. Current implementation/docs support the explicit decisions; retained for audit follow-up. Global reconciliation removed 4 repeated or non-architectural candidate event(s).
Plan,l1/work/plans/features/closed/2026-04-19-pointer-identity-equality-noref.md,2026-04-19,Implement pointer identity equality operators,Feature,L1,L1,L1,Typing / backend / C emission / tests / docs,Completed,3,Final audited decision count: 3. Reviewed in full; 4 atomic historical architectural decision events extracted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/features/closed/2026-04-20-string-equality-and-relational-operators-noref.md,2026-04-20,Backport string equality and relational operators from L1,Feature,L0,L0,L0,Typing / backend / C emission / tests / docs,Completed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,l1/work/plans/features/closed/2026-04-20-is-intrinsic-noref.md,2026-04-20,Introduce `is` intrinsic for enum payload-ignoring comparison,Feature,L1,L1,L1,Parser / Typing / Backend / Specs,Completed,2,Final audited decision count: 2. Reviewed in full; 2 atomic historical architectural decision events extracted.
Plan,work/plans/bug-fixes/closed/2026-04-20-shared-alias-struct-constructor-parity-noref.md,2026-04-20,Restore shared alias-to-struct constructor parity in self-hosted expression typing and L1 `const` lowering,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,"Expression typing, constant-initializer checking, and top-level let lowering for type-alias-to-struct constructors",Closed,0,Final audited decision count: 0. Reviewed in full; 1 atomic historical architectural decision event extracted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,work/plans/bug-fixes/closed/2026-04-20-shared-casted-place-null-propagation-arc-noref.md,2026-04-20,Restore shared casted-place null-propagation ARC cleanup classification across L0 and L1 backends,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Backend ARC ownership / nullable expression lowering,Closed,1,Final audited decision count: 1. Reviewed in full; 1 atomic historical architectural decision event extracted.
Plan,work/plans/bug-fixes/closed/2026-04-20-shared-top-level-arc-cleanup-and-drop-diagnostic-parity-noref.md,2026-04-20,Restore shared top-level ARC cleanup and dedicated module-let drop diagnostics across L0 and L1,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,"Top-level let ARC cleanup, `drop` diagnostics, and ARC/top-level regression parity",Closed,1,Final audited decision count: 1. Reviewed in full; 2 atomic historical architectural decision events extracted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,work/plans/refactors/closed/2026-04-20-prefer-native-string-operators-noref.md,2026-04-20,"Migrate native-code call-sites from `std.string::eq_s` / `cmp_s` helpers to the native `==`, `!=`, `<`, `<=`, `>`, `>=` string operators",Refactor,Root/shared,Shared L0/L1,Shared L0/L1,"Self-hosted compiler sources, shared stdlib implementations, examples, user-facing docs",Closed,1,Final audited decision count: 1. Reviewed in full; 2 atomic historical architectural decision events extracted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/bug-fixes/closed/2026-04-21-fix-windows-ci-stage2-regression.md,2026-04-21,Fix Windows CI Stage 2 Regression,Bug Fix,L0,L0,L0,Test infrastructure / Windows CI,Completed,0,"Final audited decision count: 0. Reviewed in full. No independent durable architectural choice counted; work is mechanical parity, testing/tooling, audit, diagnostic wording, or local code organization."
Plan,work/plans/bug-fixes/closed/2026-04-21-shared-arc-borrowed-param-reassignment-noref.md,2026-04-21,Fix ARC double-free and leak when a borrowed string/container parameter is reassigned by inserting a defensive retain at function entry,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Backend codegen / ARC lowering,Closed,2,Final audited decision count: 2. Reviewed in full; 2 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-22-named-arguments-noref.md,2026-04-22,Add named arguments for functions and constructors,Feature,L1,L1,L1,Parser / typing / lowering / docs,Completed,5,Final audited decision count: 5. Reviewed in full; 5 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-22-string-concatenation-operator-noref.md,2026-04-22,Add `+` string concatenation operator,Feature,L1,L1,L1,Typing / backend / runtime / ARC / docs,Completed,4,Final audited decision count: 4. Reviewed in full; 4 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-22-variadic-functions-noref.md,2026-04-22,Add L1 variadic functions,Feature,L1,L1,L1,Parser / typing / backend / ABI / docs,Completed,9,Final audited decision count: 9. Reviewed in full; 9 atomic historical architectural decision events extracted.
Plan,work/plans/bug-fixes/closed/2026-04-22-shared-optional-wrapper-typedef-ordering-noref.md,2026-04-22,Emit user-defined optional wrapper typedefs before dependent C type definitions across L0 and L1 backends,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Backend C codegen / nullable value type lowering,Completed,0,Final audited decision count: 0. Reviewed in full; 1 atomic historical architectural decision event extracted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,work/plans/bug-fixes/closed/2026-04-22-shared-unwrapped-string-value-arc-copy-noref.md,2026-04-22,Preserve ARC ownership when unwrapped strings are copied into match and case scrutinees,Bug Fix,Root/shared,Shared L0/L1,Shared L0/L1,Backend ARC lowering / optional string unwrap / match and case scrutinee cleanup,Completed,1,Final audited decision count: 1. Reviewed in full; 1 atomic historical architectural decision event extracted.
Plan,l1/work/plans/features/closed/2026-04-23-single-statement-loop-and-match-bodies-noref.md,2026-04-23,Allow single-statement `while`/`for` bodies and `match` arms,Feature,L1,L1,L1,Parser / scope analysis / backend / grammar docs,Completed,3,Final audited decision count: 3. Reviewed in full; 3 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-24-export-manifests-and-aliased-imports-noref.md,2026-04-24,Add export manifests and aliased/selective imports,Feature,L1,L1,L1,Parser / name resolution / import analysis / docs,Completed,8,Final audited decision count: 8. Reviewed in full; 8 atomic historical architectural decision events extracted.
Plan,l1/work/plans/features/closed/2026-04-24-lbi-symbol-mangling-and-linkage-noref.md,2026-04-24,Adopt LBI symbol mangling and export-driven linkage,Feature,L1,L1,L1,Backend / C emitter / ABI / docs,Completed,7,Final audited decision count: 7. Reviewed in full; 7 atomic historical architectural decision events extracted.
Plan,l1/work/plans/refactors/closed/2026-04-24-runtime-static-library-split-noref.md,2026-04-24,Split the L1 runtime into a real static library,Refactor,L1,L1,L1,Runtime / build driver / packaging / docs,Completed,9,Final audited decision count: 9. Reviewed in full; 9 atomic historical architectural decision events extracted.
Plan,l1/work/plans/refactors/closed/2026-04-27-runtime-cu-resplit-noref.md,2026-04-27,Re-split L1 runtime CUs to match thematic boundaries,Refactor,L1,L1,L1,Runtime,Completed,0,"Final audited decision count: 0. Pure source organization with unchanged public API, symbol set, behavior, and archive selection; zero architectural decisions."
Initiative,l1/work/initiatives/closed/0002-runtime-static-library.md,2026-04-29,L1 Initiative 0002 - L1 Runtime Library,Initiative,L1,L1,L1,Runtime library / ABI / linking,Completed,1,Final audited decision count: 1. Reviewed in full; 6 initiative-settled or initiative-consolidated events extracted. These are excluded from primary plan-event totals and grouped with constituent-plan events by canonical_key. Global reconciliation removed 5 repeated or non-architectural candidate event(s).
