event_id,source_type,source_path,local_id,date,summary,primary_category,secondary_categories,scope,status,explicitness,confidence,evidence_section,line_start,line_end,evidence_paraphrase,alternatives,rationale,current_docs,related_adrs,canonical_id,adr_coverage,adr_recommendation,included_in_primary_total,reviewer_notes
DEA-DEC-0096,Plan,l0/work/plans/features/closed/2026-03-09-stdlib-runtime-fs-path-raw-io-bootstrap-noref.md,D09,2026-03-09,"Raw standard-stream transfers may be partial and report positive bytes, zero for EOF/zero transfer, and -1 for error.",Runtime,Standard library,L0,Retained,Explicit,High,Unsafe boundary for raw byte stdio,81,87,The low-level sentinel and partial-transfer contract is explicitly retained.,All-or-error runtime transfers | Use nullable results at the C/runtime boundary,The runtime directly represents ordinary stream behavior while wrappers translate it into safe L0 results.,l0/docs/reference/standard-library.md,,DEA-CANON-0091,Not covered,Candidate P1 ADR: safe binary I/O boundary,Yes,
DEA-DEC-0097,Plan,l0/work/plans/features/closed/2026-03-09-stdlib-runtime-fs-path-raw-io-bootstrap-noref.md,D10,2026-03-09,Invalid std.io ByteArray ranges are programmer errors enforced by assertions rather than nullable I/O failures.,Standard library,Language semantics | Ownership and memory safety,L0,Retained,Explicit,High,Safe std.io byte API,99,104,start/count/capacity violations are classified as assertion-style contract errors.,Return null for invalid ranges | Clamp ranges,I/O failure and caller contract violation remain distinct failure classes.,l0/docs/reference/standard-library.md,,DEA-CANON-0092,Not covered,Candidate P1 ADR: safe binary I/O boundary,Yes,
DEA-DEC-0098,Plan,l0/work/plans/features/closed/2026-03-09-stdlib-runtime-fs-path-raw-io-bootstrap-noref.md,D11,2026-03-09,"Safe stdin reads return a positive count, zero for EOF, and null for I/O error.",Standard library,Language semantics,L0,Retained,Explicit,High,Safe std.io byte API,105,108,The public read result distinguishes EOF from failure through zero versus null.,Return Unit? | Treat EOF as null | Use a result enum,The wrapper preserves byte counts and makes EOF nonexceptional.,l0/docs/reference/standard-library.md,,DEA-CANON-0093,Not covered,Candidate P1 ADR: safe binary I/O boundary,Yes,
DEA-DEC-0099,Plan,l0/work/plans/features/closed/2026-03-09-stdlib-runtime-fs-path-raw-io-bootstrap-noref.md,D12,2026-03-09,"Safe partial stdout/stderr writes return a transferred count, including zero, and null for I/O error.",Standard library,Language semantics,L0,Retained,Explicit,High,Safe std.io byte API,109,111,The public some-write result preserves progress count and uses null only for runtime error.,Return Unit? | Treat zero progress as an immediate some-write error,Partial writes remain observable so callers can implement retry policy.,l0/docs/reference/standard-library.md,,DEA-CANON-0094,Not covered,Candidate P1 ADR: safe binary I/O boundary,Yes,
DEA-DEC-0100,Plan,l0/work/plans/features/closed/2026-03-09-stdlib-runtime-fs-path-raw-io-bootstrap-noref.md,D13,2026-03-09,Safe write-all loops until the requested count is written and returns null on I/O error or zero-progress write.,Standard library,Language semantics,L0,Retained,Explicit,High,Safe std.io byte API,112,113,All-write wrappers own retry behavior and classify stalled writes as failure.,Expose only partial writes | Return success on zero progress | Retry indefinitely on zero progress,The higher-level operation promises completion without permitting an infinite no-progress loop.,l0/docs/reference/standard-library.md,,DEA-CANON-0095,Not covered,Candidate P1 ADR: safe binary I/O boundary,Yes,
DEA-DEC-0101,Plan,l0/work/plans/features/closed/2026-03-09-stdlib-runtime-fs-path-raw-io-bootstrap-noref.md,D14,2026-03-09,Zero-length safe standard-stream operations are valid.,Standard library,Language semantics,L0,Retained,Explicit,High,Safe std.io byte API,112,114,The plan explicitly preserves zero-length reads and writes as valid calls.,Reject count zero as a programmer error,Empty slices behave compositionally at range boundaries.,l0/docs/reference/standard-library.md,,DEA-CANON-0096,Not covered,Candidate P1 ADR: safe binary I/O boundary,Yes,
DEA-DEC-0102,Plan,l0/work/plans/bug-fixes/closed/2026-03-10-stage2-source-paths-l0-home-fallback-noref.md,D01,2026-03-10,"When no explicit system root is supplied, source-root precedence is L0_SYSTEM followed by L0_HOME/shared/l0/stdlib; an explicit root suppresses both defaults.",CLI and distribution,Frontend architecture,L0 Stage 2,Retained,Explicit,High,Fix Implemented,48,54,"Stage 2 adopts the same explicit-root, L0_SYSTEM, L0_HOME fallback chain as Stage 1.",Ignore L0_HOME | Combine explicit and environment roots | Prefer L0_HOME over L0_SYSTEM,Direct Stage 2 artifacts and wrappers share one deterministic resolution contract.,l0/docs/specs/compiler/cli-contract.md | docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0097,Directly covered,Covered,Yes,
DEA-DEC-0103,Plan,l0/work/plans/features/closed/2026-03-10-stage2-build-run-driver-milestone.md,D01,2026-03-10,"Stage 2 l0c owns CLI parsing, common input normalization, and dispatch, while build_driver owns host-build/run orchestration.",Frontend architecture,CLI and distribution,L0 Stage 2,Retained,Explicit,High,Build/run orchestration split,68,72,The plan fixes a driver boundary between parsing/dispatch and host-tool execution.,Keep all orchestration in l0c | Make build_driver parse CLI arguments,The compiler entrypoint and platform-facing execution layer have distinct responsibilities.,l0/docs/reference/architecture.md,,DEA-CANON-0098,Not covered,Candidate P2 ADR: Stage 2 driver/build orchestration boundary.,Yes,Keep this uncovered internal boundary visible for the coherent Stage 2 driver candidate rather than treating it as an automatic standalone ADR.
DEA-DEC-0104,Plan,l0/work/plans/features/closed/2026-03-10-stage2-build-run-driver-milestone.md,D02,2026-03-10,The Stage 2 compiler initially invokes host tools through std.system.system and deliberately does not introduce a competing general subprocess API.,Runtime,CLI and distribution,L0 Stage 2,Retained,Explicit,High,Summary / Non-Goals,34,45,"The milestone selects the existing system() boundary and defers pipes, handles, and a generic exec abstraction.",Add a new subprocess API with pipe control | Implement host execution directly in compiler-specific C,Build/run can ship without preempting the broader runtime process design.,l0/docs/reference/standard-library.md | l0/docs/reference/architecture.md,,DEA-CANON-0099,Not covered,Candidate P1 ADR: compiler host-process boundary,Yes,
DEA-DEC-0105,Plan,l0/work/plans/features/closed/2026-03-10-stage2-build-run-driver-milestone.md,D03,2026-03-10,rt_system returns a normalized child command status rather than the raw C system() wait-status word.,Runtime,CLI and distribution,L0,Retained,Explicit,High,Public Interfaces And Runtime Changes,55,64,The runtime boundary changes while std.system.system keeps its public L0 signature.,Expose the host wait-status encoding | Normalize only inside compiler code,L0 callers observe portable command outcomes instead of libc encoding details.,l0/docs/reference/standard-library.md | l0/docs/specs/compiler/cli-contract.md,,DEA-CANON-0100,Not covered,Candidate P1 ADR: compiler host-process boundary,Yes,
DEA-DEC-0106,Plan,l0/work/plans/features/closed/2026-03-10-stage2-build-run-driver-milestone.md,D04,2026-03-10,POSIX shell command construction is the accepted Stage 2 host-execution target for this milestone.,Portability,Runtime | CLI and distribution,L0 Stage 2,Superseded,Explicit,High,Assumptions And Defaults,212,221,POSIX shell execution is explicitly accepted and Windows shell behavior is excluded from the gate.,Build native argv vectors through a subprocess API | Support POSIX and Windows shells together,The initial build/run slice prioritized Stage 1 parity on available hosts.,l0/docs/reference/architecture.md,,DEA-CANON-0101,ADR not warranted,Historical only; superseded by platform-dispatched command construction,Yes,
DEA-DEC-0107,Plan,l0/work/plans/tools/closed/2026-03-09-stage2-bootstrap-compiler-artifact-noref.md,D01,2026-03-10,"Stage 1 remains the bootstrap builder, but an installed toolchain contains the self-hosted Stage 2 compiler produced by the bootstrap compiler rather than the initial Stage-1-built artifact.",Bootstrap and self-hosting,CLI and distribution,L0 Stage 2,Retained,Explicit,High,Summary,41,50,Phase 3 installs Compiler 2 from the triple chain while Stage 1 remains the builder that initiates bootstrap.,Ship the Stage-1-built compiler artifact | Use Stage 2 without a trusted Stage 1 bootstrap,The delivered compiler proves self-hosting while retaining a trusted bootstrap root.,l0/docs/reference/architecture.md | l0/docs/specs/compiler/stage2-contract.md,l0/docs/decisions/0014-bootstrap-self-hosting-strategy.md | docs/decisions/0001-two-stage-architecture.md,DEA-CANON-0102,Directly covered,Covered,Yes,
DEA-DEC-0108,Plan,l0/work/plans/tools/closed/2026-03-09-stage2-bootstrap-compiler-artifact-noref.md,D02,2026-03-10,The final Stage 2 install prefix does not include or require an installed Stage 1 compiler.,CLI and distribution,Bootstrap and self-hosting,L0 Stage 2,Retained,Explicit,High,Phase 3: repo-independent install prefix,218,227,The prefix is self-contained around Stage 2 and shared assets; Stage 1 is explicitly omitted.,Install both compiler stages | Require a source checkout with Stage 1,"Stage 1 is a bootstrap implementation, not part of the end-user runtime dependency set.",l0/docs/specs/compiler/stage2-contract.md | l0/docs/user/README.md,l0/docs/decisions/0014-bootstrap-self-hosting-strategy.md,DEA-CANON-0103,Covered as part of a broader ADR,Covered,Yes,
DEA-DEC-0109,Plan,l0/work/plans/tools/closed/2026-03-09-stage2-bootstrap-compiler-artifact-noref.md,D03,2026-03-10,The level Makefile is the canonical developer workflow layer rather than a second compiler driver.,Repository and process architecture,CLI and distribution,L0,Retained,Explicit,High,Phase 2 / Key Implementation Changes,118,121,The plan names the top-level Makefile as the canonical repo-local entrypoint.,Expose independent scripts as peer entrypoints | Embed workflow orchestration in l0c,Make coordinates repeatable build/test/install actions while the compiler driver remains focused on compilation.,l0/CLAUDE.md | l0/Makefile,,DEA-CANON-0104,Not covered,"Candidate P2 ADR: L0 build, install, and distribution surfaces",Yes,
DEA-DEC-0110,Plan,l0/work/plans/tools/closed/2026-03-09-stage2-bootstrap-compiler-artifact-noref.md,D04,2026-03-10,"Selecting the repo-local l0c stage is explicit: only use-dev-stage1/use-dev-stage2 change the alias, while install targets do not.",Repository and process architecture,Repository and process architecture,L0,Retained,Explicit,High,Phase 2 target behavior / Assumptions,162,169,Install targets place stage commands without changing the selected alias; use targets alone perform switching.,Implicitly select the last installed stage | Select a stage with an environment variable,Installation and active-tool selection remain separate user actions.,l0/CLAUDE.md | l0/docs/user/README.md,,DEA-CANON-0105,Not covered,"Candidate P2 ADR: L0 build, install, and distribution surfaces",Yes,Explicit repo-local stage selection is a developer workflow/lifecycle boundary rather than compiler CLI parsing or distribution format.
DEA-DEC-0111,Plan,l0/work/plans/tools/closed/2026-03-09-stage2-bootstrap-compiler-artifact-noref.md,D05,2026-03-10,Repo-local compiler wrappers are checkout-relative and intentionally non-relocatable outside the repository.,CLI and distribution,Repository and process architecture,L0,Retained,Explicit,High,Phase 2: repo-local workflow,135,141,"Repo-local wrappers derive the checkout root, use checkout assets, and do not copy shared trees.",Make every developer build a complete relocatable prefix | Use absolute paths captured at generation time,The fast developer workflow can reuse source assets without duplicating install packaging.,l0/docs/specs/compiler/stage2-contract.md | l0/CLAUDE.md,,DEA-CANON-0106,Not covered,"Candidate P2 ADR: L0 build, install, and distribution surfaces",Yes,
DEA-DEC-0112,Plan,l0/work/plans/tools/closed/2026-03-09-stage2-bootstrap-compiler-artifact-noref.md,D06,2026-03-10,"An installed Stage 2 prefix is relocatable and self-contained, with compiler launchers plus copied shared stdlib and runtime assets addressed relative to PREFIX.",CLI and distribution,Repository and process architecture,L0 Stage 2,Retained,Explicit,High,Phase 3: repo-independent install prefix,190,223,The required prefix layout contains bin and shared trees and must continue working after the checkout is moved or removed.,Installed wrappers refer back to the repository | Install only the native binary,End-user toolchains cannot depend on a source checkout.,l0/docs/specs/compiler/stage2-contract.md | l0/docs/user/README.md,,DEA-CANON-0107,Not covered,Candidate P1 ADR: L0 relocatable artifact contract,Yes,
DEA-DEC-0113,Plan,l0/work/plans/tools/closed/2026-03-09-stage2-bootstrap-compiler-artifact-noref.md,D07,2026-03-10,"Install-time self-hosting scrubs inherited L0_SYSTEM, L0_RUNTIME_INCLUDE, and L0_RUNTIME_LIB so caller state cannot redirect bootstrap inputs.",Bootstrap and self-hosting,CLI and distribution,L0 Stage 2,Retained,Explicit,High,Phase 3: repo-independent install prefix,218,225,The internal rebuild is explicitly isolated from installed-prefix environment values.,Honor the caller's active L0 paths during bootstrap | Require users to clean their shell manually,Bootstrap must consume the intended source tree deterministically.,l0/docs/specs/compiler/stage2-contract.md,l0/docs/decisions/0014-bootstrap-self-hosting-strategy.md,DEA-CANON-0108,Covered as part of a broader ADR,Covered,Yes,
DEA-DEC-0114,Plan,l0/work/plans/bug-fixes/closed/2026-03-11-general-logical-short-circuit-arc-temp-lowering-noref.md,D01,2026-03-11,"Value-context && and || use the same structured short-circuit machinery as control-flow conditions, with branch-local ARC cleanup.",Ownership and memory safety,Backend and C emission | Language semantics,L0,Retained,Explicit,High,Fix implemented / Value-producing short-circuit lowering,60,78,Logical values are produced through a result temp and structured branches rather than the generic eager binary path.,Retain a separate value-only boolean lowering | Hoist both operands then emit a C logical operator,All logical contexts preserve source short-circuit semantics despite statement-emitting operands.,l0/docs/reference/ownership.md | l0/docs/reference/c-backend-design.md,l0/docs/decisions/0008-arc-ownership-model.md,DEA-CANON-0109,Directly covered,Covered,Yes,
DEA-DEC-0115,Plan,l0/work/plans/bug-fixes/closed/2026-03-11-stage1-backend-condition-arc-temp-control-flow-noref.md,D01,2026-03-11,Control-flow conditions are lowered through structured branching with evaluation-local ARC temporaries and per-iteration reevaluation.,Ownership and memory safety,Backend and C emission | Language semantics,L0,Retained,Explicit,High,Fix implemented / Lower statement conditions,60,75,"Both backends use scoped condition blocks, explicit short-circuit branches, cleanup before branch transfer, and loop-top reevaluation.",Embed expression text directly in C headers | Hoist temp-producing condition leaves,ARC materialization must not change short-circuit or loop reevaluation semantics.,l0/docs/reference/ownership.md | l0/docs/reference/c-backend-design.md,l0/docs/decisions/0008-arc-ownership-model.md,DEA-CANON-0110,Directly covered,Covered,Yes,
DEA-DEC-0116,Plan,l0/work/plans/features/closed/2026-03-11-triple-bootstrap-self-hosting-noref.md,D01,2026-03-11,Triple bootstrap builds Stage 2 through three generations and requires compiler-2 and compiler-3 retained C to be byte-identical.,Bootstrap and self-hosting,Backend and C emission,L0 Stage 2,Retained,Explicit,High,Public Interface and Deliverables,64,80,The harness builds three generations and makes the second/third retained-C comparison a strict gate.,Stop after one self-build | Require only successful compilation | Compare behavior rather than artifacts,A fixed point in generated C exposes self-hosting drift.,l0/docs/reference/architecture.md | l0/docs/specs/compiler/stage1-contract.md,l0/docs/decisions/0014-bootstrap-self-hosting-strategy.md | docs/decisions/0001-two-stage-architecture.md,DEA-CANON-0111,Directly covered,Covered,Yes,
DEA-DEC-0117,Plan,l0/work/plans/features/closed/2026-03-11-triple-bootstrap-self-hosting-noref.md,D02,2026-03-11,Compiler-2 and compiler-3 native binaries are compared byte-for-byte when the host toolchain can produce deterministic binaries.,Bootstrap and self-hosting,Portability,L0 Stage 2,Superseded,Explicit,High,Goals,47,55,The plan adds native binary identity on toolchains made deterministic by explicit settings.,Compare retained C only | Run semantic smoke tests on both binaries,Native identity adds a stronger fixed-point signal when host metadata can be controlled.,l0/compiler/stage2_l0/tests/l0c_triple_bootstrap_test.py,l0/docs/decisions/0014-bootstrap-self-hosting-strategy.md,DEA-CANON-0112,Partially covered,Update ADR-0014 to describe normalization and platform exceptions,Yes,
DEA-DEC-0118,Plan,l0/work/plans/features/closed/2026-03-11-triple-bootstrap-self-hosting-noref.md,D03,2026-03-11,TinyCC must satisfy retained-C identity but is exempt from native-binary identity because it lacks a stable binary guarantee.,Bootstrap and self-hosting,Portability,L0 Stage 2,Retained,Explicit,High,Enforce deterministic native outputs,112,121,TCC retains the generated-C gate while skipping the native stability probe and comparison.,Reject TCC as unsupported | Require raw native identity from TCC,Compiler correctness remains testable without imposing an unsupported linker determinism promise.,l0/compiler/stage2_l0/tests/l0c_triple_bootstrap_test.py,l0/docs/decisions/0014-bootstrap-self-hosting-strategy.md,DEA-CANON-0113,Partially covered,Update ADR-0014 with toolchain exceptions,Yes,
DEA-DEC-0119,Plan,l0/work/plans/tools/closed/2026-03-11-windows-build-support.md,D01,2026-03-11,Windows support initially designates MinGW-w64 under MSYS2 MINGW64 as Tier 1 and MSVC as partial Tier 2.,Portability,CLI and distribution,L0,Superseded,Explicit,High,Summary,26,32,The closed plan states the supported tier split and CI validation posture.,MSVC as Tier 1 | No Windows support | UCRT64 as the primary MSYS2 environment,MinGW provided the closest existing C99/GNU Make/bash toolchain path.,l0/docs/user/README-WINDOWS.md | l0/docs/project-status.md,,DEA-CANON-0114,Not covered,Candidate P1 ADR: supported host/toolchain tiers,Yes,
DEA-DEC-0120,Plan,l0/work/plans/tools/closed/2026-03-11-windows-build-support.md,D02,2026-03-11,Stage 2 command construction dispatches to host-specific Windows versus POSIX quoting and executable-discovery rules.,Portability,CLI and distribution | Runtime,L0 Stage 2,Retained,Explicit,High,Stage 2 Build Driver Portability,132,144,The build driver selects Windows quoting/where.exe/.exe behavior on Windows and preserves the POSIX path elsewhere.,Use POSIX shell syntax on every host | Add a general argv-based subprocess runtime first,The existing system-based execution layer needs an explicit host-shell abstraction.,l0/docs/reference/architecture.md | l0/docs/user/README-WINDOWS.md,,DEA-CANON-0115,Not covered,Candidate P1 ADR: compiler host-process boundary,Yes,
DEA-DEC-0121,Plan,l0/work/plans/tools/closed/2026-03-11-windows-build-support.md,D03,2026-03-11,Windows builds generate .cmd companion launchers alongside POSIX launchers.,CLI and distribution,Portability,L0,Retained,Explicit,High,Stage 2 Launcher Generation,146,159,The build creates a native cmd.exe entrypoint while retaining the POSIX launcher.,Ship only POSIX shell launchers | Replace POSIX launchers with Windows-only wrappers,One distribution can support native Windows shells and MSYS2/bash workflows.,l0/docs/user/README-WINDOWS.md | l0/docs/specs/compiler/stage2-contract.md,,DEA-CANON-0116,Not covered,Candidate P2 ADR: L0 relocatable artifact contract,Yes,
DEA-DEC-0122,Plan,l0/work/plans/features/closed/2026-03-12-cli-version-flag-and-identity-text-noref.md,D01,2026-03-12,Both L0 compiler stages expose a stable --version operation with stage-specific identity text.,CLI and distribution,,L0,Retained,Explicit,High,Summary,21,31,The plan adds --version to both stages and fixes the Stage 1/Stage 2 identity lines.,Expose version only through help | Use an identical stage-neutral line,Users and tests can identify which compiler stage is active.,l0/docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/stage2-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0117,Directly covered,Covered,Yes,
DEA-DEC-0123,Plan,l0/work/plans/features/closed/2026-03-12-cli-version-flag-and-identity-text-noref.md,D02,2026-03-12,"The stage identity string is shared by --version and the help heading, and is also emitted by normal verbose startup.",CLI and distribution,,L0,Retained,Explicit,High,Summary,27,33,"The same exact stage line is reused across version, help, and verbose output surfaces.",Use separate branding text per output | Omit identity from verbose startup,One identity source prevents public text drift among CLI modes.,l0/docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/stage2-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0118,Covered as part of a broader ADR,Covered,Yes,
DEA-DEC-0124,Plan,l0/work/plans/features/closed/2026-03-12-shared-cli-contract-spec.md,D01,2026-03-12,"Stage-independent compiler modes, option validation, target normalization, root search, identity expectations, and exit codes have one normative shared CLI specification.",CLI and distribution,Repository and process architecture,Shared L0/L1,Retained,Explicit,High,Implementation,44,56,The new shared specification is explicitly scoped to common behavior rather than a Stage 1 implementation document.,Keep Stage 1 code as the only oracle | Maintain separate complete contracts per stage,A stable cross-stage and cross-level contract makes parity requirements reviewable.,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0119,Directly covered,Covered,Yes,
DEA-DEC-0125,Plan,l0/work/plans/features/closed/2026-03-12-shared-cli-contract-spec.md,D02,2026-03-12,Stage-specific CLI differences are called out explicitly inside or alongside the shared contract; they do not justify a separate full Stage 2 contract for shared behavior.,CLI and distribution,Repository and process architecture,Shared L0/L1,Retained,Explicit,High,Implementation,57,73,The plan reserves an explicit differences section and rejects creating a competing Stage 2-wide CLI contract.,Hide implementation differences | Create independent Stage 1 and Stage 2 CLI specifications,Shared meanings stay singular while genuine capability/provenance differences remain visible.,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/stage2-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0120,Directly covered,Covered,Yes,
DEA-DEC-0126,Plan,l0/work/plans/features/closed/2026-03-12-stage2-build-info-version-output-noref.md,D01,2026-03-12,Repo-local and installed Stage 2 artifacts embed build provenance in the binary itself.,CLI and distribution,Bootstrap and self-hosting,L0 Stage 2,Retained,Explicit,High,Summary,28,41,Only artifact-producing install-dev-stage2 and install flows receive embedded metadata.,Store provenance only in wrappers | Ship a sidecar metadata file | Provide static identity only,Direct native-binary --version remains informative independently of a launcher or checkout.,l0/docs/specs/compiler/stage2-contract.md | l0/docs/user/README.md,,DEA-CANON-0121,Not covered,Candidate P1 ADR: Stage 2 artifact identity and provenance,Yes,
DEA-DEC-0127,Plan,l0/work/plans/features/closed/2026-03-12-stage2-build-info-version-output-noref.md,D02,2026-03-12,Raw compiler-2 and compiler-3 self-hosted builds omit provenance metadata and use the static version fallback.,Bootstrap and self-hosting,CLI and distribution,L0 Stage 2,Retained,Explicit,High,Summary,35,45,Triple-bootstrap binaries stay on plain source to prevent build-specific metadata from perturbing identity.,Embed a timestamp and commit in every self-build | Normalize provenance out during comparison,Self-hosting fixed-point artifacts must not contain generation-specific inputs.,l0/docs/specs/compiler/stage2-contract.md | l0/compiler/stage2_l0/tests/l0c_triple_bootstrap_test.py,l0/docs/decisions/0014-bootstrap-self-hosting-strategy.md,DEA-CANON-0122,Covered as part of a broader ADR,Covered,Yes,
DEA-DEC-0128,Plan,l0/work/plans/features/closed/2026-03-12-stage2-build-info-version-output-noref.md,D03,2026-03-12,"Build provenance is injected through a generated Stage 2 source overlay, not wrapper plumbing or post-link binary patching.",Bootstrap and self-hosting,CLI and distribution,L0 Stage 2,Retained,Explicit,High,Summary / Implementation,43,45,A temporary build_info.l0 overlay precedes the checked-in source root.,Patch ELF/Mach-O/PE after linking | Pass metadata through launchers | Mutate checked-in source,"Source-level injection is portable, reviewable, and naturally compiled into the direct binary.",l0/docs/specs/compiler/stage2-contract.md,,DEA-CANON-0123,Not covered,Candidate P1 ADR: Stage 2 artifact identity and provenance,Yes,
DEA-DEC-0129,Plan,l0/work/plans/features/closed/2026-03-12-stage2-build-info-version-output-noref.md,D04,2026-03-12,Only --version exposes embedded build provenance; --help and verbose startup retain stable static identity text.,CLI and distribution,,L0 Stage 2,Retained,Explicit,High,Implementation,49,54,The plan confines dynamic metadata to version output and defines the static fallback.,Include provenance in help | Print build metadata on every verbose run,Operational identity is queryable without making ordinary output nondeterministic.,l0/docs/specs/compiler/stage2-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0124,Partially covered,Candidate P1 ADR: Stage 2 artifact identity and provenance,Yes,
DEA-DEC-0130,Plan,l0/work/plans/features/closed/2026-03-12-stage2-build-info-version-output-noref.md,D05,2026-03-12,"Embedded Stage 2 --version output reports build ID, UTC build time, commit/dirty state, host identity, and the actual host-compiler banner, while tolerating unavailable Git metadata.",CLI and distribution,Portability,L0 Stage 2,Retained,Explicit,High,Implementation,88,99,The plan fixes the multiline provenance field set and compact compiler representation.,Expose only a semantic version | Fail artifact builds when Git is absent | Report the compiler command rather than its banner,The installed binary carries enough data to reproduce and diagnose its origin without making archives impossible.,l0/docs/specs/compiler/stage2-contract.md,,DEA-CANON-0125,Not covered,Candidate P1 ADR: Stage 2 artifact identity and provenance,Yes,
DEA-DEC-0131,Plan,l0/work/plans/bug-fixes/closed/2026-03-13-linux-c99-compatibility-noref.md,D01,2026-03-13,"Reading a directory, non-regular file, or oversized file through the runtime is an ordinary recoverable read failure, not an internal panic.",Runtime,Portability,L0,Retained,Explicit,High,Fix Plan / Runtime Linux-safe,69,75,The runtime classifies non-regular and oversized inputs as failed reads.,Panic on unsupported filesystem objects | Attempt to read directories,Host filesystem edge cases belong in the nullable I/O failure model.,l0/docs/reference/standard-library.md,,DEA-CANON-0126,Not covered,Candidate P2 ADR: runtime filesystem failure contract,Yes,
DEA-DEC-0132,Plan,l0/work/plans/bug-fixes/closed/2026-03-13-linux-c99-compatibility-noref.md,D02,2026-03-13,File-scope aggregate constants emit brace-only static initializers that are valid strict C99 in both stages.,Backend and C emission,Portability,L0,Retained,Explicit,High,Fix Plan / Emit C99-safe static initializers,76,80,Struct and tagged-union top-level constants move away from rejected compound-literal forms.,Require compiler extensions | Emit runtime initialization functions,Generated translation units must compile under the stated portable C99 target.,l0/docs/reference/c-backend-design.md | l0/docs/reference/design-decisions.md,l0/docs/decisions/0011-c-emission-strategy.md,DEA-CANON-0127,Directly covered,Covered,Yes,
DEA-DEC-0133,Plan,l0/work/plans/bug-fixes/closed/2026-03-13-linux-c99-compatibility-noref.md,D03,2026-03-13,Linux triple bootstrap keeps retained-C comparison raw and byte-exact but compares stripped/normalized native artifacts.,Bootstrap and self-hosting,Portability,L0 Stage 2,Retained,Explicit,High,Fix Plan / Normalize Linux bootstrap artifact comparison,82,87,Native ELF metadata is normalized without weakening the generated-C gate.,Compare raw ELF files | Skip all native comparison on Linux,Path-sensitive host metadata is not a compiler-codegen difference.,l0/compiler/stage2_l0/tests/l0c_triple_bootstrap_test.py,l0/docs/decisions/0014-bootstrap-self-hosting-strategy.md,DEA-CANON-0128,Partially covered,Update ADR-0014 with normalization rules,Yes,
DEA-DEC-0134,Plan,l0/work/plans/bug-fixes/closed/2026-03-13-windows-stage2-shell-test-regressions-noref.md,D01,2026-03-13,Windows triple bootstrap requires retained-C identity but skips native PE identity when binary determinism cannot be guaranteed.,Bootstrap and self-hosting,Portability,L0 Stage 2,Retained,Explicit,High,Planned Fix / win32 triple bootstrap,108,115,The plan preserves the compiler-output fixed point while permitting a platform-specific native exception.,Fail Windows as unsupported | Require raw PE identity | Skip triple bootstrap entirely,PE timestamps and metadata do not invalidate byte-identical generated C.,l0/compiler/stage2_l0/tests/l0c_triple_bootstrap_test.py,l0/docs/decisions/0014-bootstrap-self-hosting-strategy.md,DEA-CANON-0129,Partially covered,Update ADR-0014 with the Windows native exception,Yes,
DEA-DEC-0135,Plan,l0/work/plans/refactors/closed/2026-03-13-stdlib-fs-io-boundary-cleanup-noref.md,D01,2026-03-13,"All path-based file operations live in std.fs; std.io is reserved for standard streams, byte-stream operations, flushing, and printing.",Standard library,,L0,Retained,Explicit,High,Summary,26,33,The plan draws an intent-based hard module boundary between filesystem paths and streams.,Keep read_file/write_file in std.io | Duplicate path APIs across modules,Imports communicate whether code depends on filesystems or only streams.,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,DEA-CANON-0083,Directly covered,Covered,Yes,
DEA-DEC-0136,Plan,l0/work/plans/refactors/closed/2026-03-13-stdlib-fs-io-boundary-cleanup-noref.md,D02,2026-03-13,"std.fs.exists reports existence of any path, including directories.",Standard library,Runtime,L0,Retained,Explicit,High,Public API and Type Interface / Assumptions,52,57,The generic helper reuses RtFileInfo/stat and removes the redundant fast-path runtime call.,Define exists as regular-file existence | Keep a dedicated runtime ABI entrypoint,One metadata operation owns existence and kind semantics.,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,DEA-CANON-0130,Covered as part of a broader ADR,Covered,Yes,The public semantic choice is the any-path meaning; deriving it from metadata is an implementation consequence and is removed from the atomic summary.
DEA-DEC-0137,Plan,l0/work/plans/refactors/closed/2026-03-13-stdlib-fs-io-boundary-cleanup-noref.md,D03,2026-03-13,The std.io-to-std.fs API move is a clean break with no forwarding aliases or deprecation period.,Standard library,CLI and distribution,L0,Historical only,Explicit,High,Assumptions and Defaults,93,99,The plan explicitly chooses a hard cut and removes old names.,Retain deprecated forwarding wrappers | Support both modules for one release,The pre-1.0 surface could be corrected without carrying duplicate ownership.,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,DEA-CANON-0131,Covered as part of a broader ADR,Historical migration detail,Yes,
